,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Order,2930.0,,,,1465.5,845.9624696167082,1.0,733.25,1465.5,2197.75,2930.0
PID,2930.0,,,,714464496.9887372,188730844.64939007,526301100.0,528477022.5,535453620.0,907181097.5,1007100110.0
MS SubClass,2930.0,,,,57.38737201365188,42.638024553802126,20.0,20.0,50.0,70.0,190.0
MS Zoning,2930,7,RL,2273,,,,,,,
Lot Frontage,2440.0,,,,69.22459016393442,23.3653349745034,21.0,58.0,68.0,80.0,313.0
Lot Area,2930.0,,,,10147.921843003413,7880.017759439091,1300.0,7440.25,9436.5,11555.25,215245.0
Street,2930,2,Pave,2918,,,,,,,
Alley,198,2,Grvl,120,,,,,,,
Lot Shape,2930,4,Reg,1859,,,,,,,
Land Contour,2930,4,Lvl,2633,,,,,,,
Utilities,2930,3,AllPub,2927,,,,,,,
Lot Config,2930,5,Inside,2140,,,,,,,
Land Slope,2930,3,Gtl,2789,,,,,,,
Neighborhood,2930,28,NAmes,443,,,,,,,
Condition 1,2930,9,Norm,2522,,,,,,,
Condition 2,2930,8,Norm,2900,,,,,,,
Bldg Type,2930,5,1Fam,2425,,,,,,,
House Style,2930,8,1Story,1481,,,,,,,
Overall Qual,2930.0,,,,6.0948805460750854,1.4110260835519746,1.0,5.0,6.0,7.0,10.0
Overall Cond,2930.0,,,,5.563139931740614,1.1115365600303264,1.0,5.0,5.0,6.0,9.0
Year Built,2930.0,,,,1971.3563139931741,30.24536062937473,1872.0,1954.0,1973.0,2001.0,2010.0
Year Remod/Add,2930.0,,,,1984.266552901024,20.860285876849307,1950.0,1965.0,1993.0,2004.0,2010.0
Roof Style,2930,6,Gable,2321,,,,,,,
Roof Matl,2930,8,CompShg,2887,,,,,,,
Exterior 1st,2930,16,VinylSd,1026,,,,,,,
Exterior 2nd,2930,17,VinylSd,1015,,,,,,,
Mas Vnr Type,1155,4,BrkFace,880,,,,,,,
Mas Vnr Area,2907.0,,,,101.8968008255934,179.11261057727674,0.0,0.0,0.0,164.0,1600.0
Exter Qual,2930,4,TA,1799,,,,,,,
Exter Cond,2930,5,TA,2549,,,,,,,
Foundation,2930,6,PConc,1310,,,,,,,
Bsmt Qual,2850,5,TA,1283,,,,,,,
Bsmt Cond,2850,5,TA,2616,,,,,,,
Bsmt Exposure,2847,4,No,1906,,,,,,,
BsmtFin Type 1,2850,6,GLQ,859,,,,,,,
